date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score
2024-04-11,745601,1,Pittsburgh Pirates,Philadelphia Phillies,5,Philadelphia Phillies,Pittsburgh Pirates,5,1
2024-04-11,746977,9,Baltimore Orioles,Boston Red Sox,4,Baltimore Orioles,Boston Red Sox,9,4
2024-04-12,746491,2,Minnesota Twins,Detroit Tigers,8,Detroit Tigers,Minnesota Twins,8,2
2024-04-12,745596,5,Pittsburgh Pirates,Philadelphia Phillies,2,Pittsburgh Pirates,Philadelphia Phillies,5,2
2024-04-12,745112,1,San Francisco Giants,Tampa Bay Rays,2,Tampa Bay Rays,San Francisco Giants,2,1
2024-04-12,747055,11,Milwaukee Brewers,Baltimore Orioles,1,Milwaukee Brewers,Baltimore Orioles,11,1
2024-04-12,744954,12,Colorado Rockies,Toronto Blue Jays,4,Colorado Rockies,Toronto Blue Jays,12,4
2024-04-12,746978,7,Los Angeles Angels,Boston Red Sox,0,Los Angeles Angels,Boston Red Sox,7,0
2024-04-12,745838,1,Kansas City Royals,New York Mets,6,New York Mets,Kansas City Royals,6,1
2024-04-12,746084,8,Atlanta Braves,Miami Marlins,1,Atlanta Braves,Miami Marlins,8,1
2024-04-12,746812,11,Cincinnati Reds,Chicago White Sox,1,Cincinnati Reds,Chicago White Sox,11,1
2024-04-12,746408,12,Texas Rangers,Houston Astros,8,Texas Rangers,Houston Astros,12,8
2024-04-12,745679,1,Washington Nationals,Oakland Athletics,2,Oakland Athletics,Washington Nationals,2,1
2024-04-12,745274,2,Chicago Cubs,Seattle Mariners,4,Seattle Mariners,Chicago Cubs,4,2
2024-04-12,747217,9,St. Louis Cardinals,Arizona Diamondbacks,6,St. Louis Cardinals,Arizona Diamondbacks,9,6
2024-04-12,746162,8,San Diego Padres,Los Angeles Dodgers,7,San Diego Padres,Los Angeles Dodgers,8,7
2024-04-13,746656,3,New York Yankees,Cleveland Guardians,2,New York Yankees,Cleveland Guardians,3,2
2024-04-13,746658,8,New York Yankees,Cleveland Guardians,2,New York Yankees,Cleveland Guardians,8,2
2024-04-13,746489,11,Minnesota Twins,Detroit Tigers,5,Minnesota Twins,Detroit Tigers,11,5
2024-04-13,746490,4,Minnesota Twins,Detroit Tigers,1,Minnesota Twins,Detroit Tigers,4,1
2024-04-13,745839,11,Kansas City Royals,New York Mets,7,Kansas City Royals,New York Mets,11,7
2024-04-13,746811,5,Cincinnati Reds,Chicago White Sox,0,Cincinnati Reds,Chicago White Sox,5,0
2024-04-13,744953,3,Colorado Rockies,Toronto Blue Jays,5,Toronto Blue Jays,Colorado Rockies,5,3
2024-04-13,746405,2,Texas Rangers,Houston Astros,9,Houston Astros,Texas Rangers,9,2
2024-04-13,745594,3,Pittsburgh Pirates,Philadelphia Phillies,4,Philadelphia Phillies,Pittsburgh Pirates,4,3
2024-04-13,747054,11,Milwaukee Brewers,Baltimore Orioles,5,Milwaukee Brewers,Baltimore Orioles,11,5
2024-04-13,745676,3,Washington Nationals,Oakland Athletics,1,Washington Nationals,Oakland Athletics,3,1
2024-04-13,746979,2,Los Angeles Angels,Boston Red Sox,7,Boston Red Sox,Los Angeles Angels,7,2
2024-04-13,745110,11,San Francisco Giants,Tampa Bay Rays,2,San Francisco Giants,Tampa Bay Rays,11,2
2024-04-13,746082,1,Atlanta Braves,Miami Marlins,5,Miami Marlins,Atlanta Braves,5,1
2024-04-13,747215,2,St. Louis Cardinals,Arizona Diamondbacks,4,Arizona Diamondbacks,St. Louis Cardinals,4,2
2024-04-13,746161,2,San Diego Padres,Los Angeles Dodgers,5,Los Angeles Dodgers,San Diego Padres,5,2
2024-04-13,745272,4,Chicago Cubs,Seattle Mariners,1,Chicago Cubs,Seattle Mariners,4,1
2024-04-14,746975,4,Los Angeles Angels,Boston Red Sox,5,Boston Red Sox,Los Angeles Angels,5,4
2024-04-14,745595,9,Pittsburgh Pirates,Philadelphia Phillies,2,Pittsburgh Pirates,Philadelphia Phillies,9,2
2024-04-14,747056,4,Milwaukee Brewers,Baltimore Orioles,6,Baltimore Orioles,Milwaukee Brewers,6,4
2024-04-14,744952,0,Colorado Rockies,Toronto Blue Jays,5,Toronto Blue Jays,Colorado Rockies,5,0
2024-04-14,745841,1,Kansas City Royals,New York Mets,2,New York Mets,Kansas City Royals,2,1
2024-04-14,745113,4,San Francisco Giants,Tampa Bay Rays,9,Tampa Bay Rays,San Francisco Giants,9,4
2024-04-14,746492,3,Minnesota Twins,Detroit Tigers,4,Detroit Tigers,Minnesota Twins,4,3
2024-04-14,746079,9,Atlanta Braves,Miami Marlins,7,Atlanta Braves,Miami Marlins,9,7
2024-04-14,746648,7,New York Yankees,Cleveland Guardians,8,Cleveland Guardians,New York Yankees,8,7
2024-04-14,746404,5,Texas Rangers,Houston Astros,8,Houston Astros,Texas Rangers,8,5
2024-04-14,746810,11,Cincinnati Reds,Chicago White Sox,4,Cincinnati Reds,Chicago White Sox,11,4
2024-04-14,745681,6,Washington Nationals,Oakland Athletics,7,Oakland Athletics,Washington Nationals,7,6
2024-04-14,745271,3,Chicago Cubs,Seattle Mariners,2,Chicago Cubs,Seattle Mariners,3,2
2024-04-14,747216,0,St. Louis Cardinals,Arizona Diamondbacks,5,Arizona Diamondbacks,St. Louis Cardinals,5,0
2024-04-14,746164,6,San Diego Padres,Los Angeles Dodgers,3,San Diego Padres,Los Angeles Dodgers,6,3
2024-04-15,746974,6,Cleveland Guardians,Boston Red Sox,0,Cleveland Guardians,Boston Red Sox,6,0
2024-04-15,747053,4,Minnesota Twins,Baltimore Orioles,7,Baltimore Orioles,Minnesota Twins,7,4
2024-04-15,746488,1,Texas Rangers,Detroit Tigers,0,Texas Rangers,Detroit Tigers,1,0
2024-04-15,745597,1,Colorado Rockies,Philadelphia Phillies,2,Philadelphia Phillies,Colorado Rockies,2,1
2024-04-15,746080,4,San Francisco Giants,Miami Marlins,3,San Francisco Giants,Miami Marlins,4,3
2024-04-15,745106,7,Los Angeles Angels,Tampa Bay Rays,3,Los Angeles Angels,Tampa Bay Rays,7,3
2024-04-15,744951,1,New York Yankees,Toronto Blue Jays,3,Toronto Blue Jays,New York Yankees,3,1
2024-04-15,745840,3,Pittsburgh Pirates,New York Mets,6,New York Mets,Pittsburgh Pirates,6,3
2024-04-15,746813,2,Kansas City Royals,Chicago White Sox,0,Kansas City Royals,Chicago White Sox,2,0
2024-04-15,746002,7,San Diego Padres,Milwaukee Brewers,3,San Diego Padres,Milwaukee Brewers,7,3
2024-04-15,746406,6,Atlanta Braves,Houston Astros,1,Atlanta Braves,Houston Astros,6,1
2024-04-15,747213,3,Chicago Cubs,Arizona Diamondbacks,2,Chicago Cubs,Arizona Diamondbacks,3,2
2024-04-15,745677,3,St. Louis Cardinals,Oakland Athletics,1,St. Louis Cardinals,Oakland Athletics,3,1
2024-04-15,745268,3,Cincinnati Reds,Seattle Mariners,9,Seattle Mariners,Cincinnati Reds,9,3
2024-04-15,746158,6,Washington Nationals,Los Angeles Dodgers,4,Washington Nationals,Los Angeles Dodgers,6,4
2024-04-16,746486,2,Texas Rangers,Detroit Tigers,4,Detroit Tigers,Texas Rangers,4,2
2024-04-16,747051,3,Minnesota Twins,Baltimore Orioles,11,Baltimore Orioles,Minnesota Twins,11,3
2024-04-16,745593,0,Colorado Rockies,Philadelphia Phillies,5,Philadelphia Phillies,Colorado Rockies,5,0
2024-04-16,746081,3,San Francisco Giants,Miami Marlins,6,Miami Marlins,San Francisco Giants,6,3
2024-04-16,745108,6,Los Angeles Angels,Tampa Bay Rays,7,Tampa Bay Rays,Los Angeles Angels,7,6
2024-04-16,744944,4,New York Yankees,Toronto Blue Jays,5,Toronto Blue Jays,New York Yankees,5,4
2024-04-16,746976,10,Cleveland Guardians,Boston Red Sox,7,Cleveland Guardians,Boston Red Sox,10,7
2024-04-16,745837,1,Pittsburgh Pirates,New York Mets,3,New York Mets,Pittsburgh Pirates,3,1
2024-04-16,746004,6,San Diego Padres,Milwaukee Brewers,3,San Diego Padres,Milwaukee Brewers,6,3
2024-04-16,746400,6,Atlanta Braves,Houston Astros,2,Atlanta Braves,Houston Astros,6,2
2024-04-16,747214,11,Chicago Cubs,Arizona Diamondbacks,12,Arizona Diamondbacks,Chicago Cubs,12,11
2024-04-16,745270,1,Cincinnati Reds,Seattle Mariners,3,Seattle Mariners,Cincinnati Reds,3,1
2024-04-16,745674,3,St. Louis Cardinals,Oakland Athletics,2,St. Louis Cardinals,Oakland Athletics,3,2
2024-04-16,746157,2,Washington Nationals,Los Angeles Dodgers,6,Los Angeles Dodgers,Washington Nationals,6,2
2024-04-17,746076,3,San Francisco Giants,Miami Marlins,1,San Francisco Giants,Miami Marlins,3,1
2024-04-17,747049,2,Minnesota Twins,Baltimore Orioles,4,Baltimore Orioles,Minnesota Twins,4,2
2024-04-17,745836,1,Pittsburgh Pirates,New York Mets,9,New York Mets,Pittsburgh Pirates,9,1
2024-04-17,746487,5,Texas Rangers,Detroit Tigers,4,Texas Rangers,Detroit Tigers,5,4
2024-04-17,746005,0,San Diego Padres,Milwaukee Brewers,1,Milwaukee Brewers,San Diego Padres,1,0
2024-04-17,746401,5,Atlanta Braves,Houston Astros,4,Atlanta Braves,Houston Astros,5,4
2024-04-17,746807,4,Kansas City Royals,Chicago White Sox,2,Kansas City Royals,Chicago White Sox,4,2
2024-04-17,746809,1,Kansas City Royals,Chicago White Sox,2,Chicago White Sox,Kansas City Royals,2,1
2024-04-17,744948,6,New York Yankees,Toronto Blue Jays,4,New York Yankees,Toronto Blue Jays,6,4
2024-04-17,746159,2,Washington Nationals,Los Angeles Dodgers,0,Washington Nationals,Los Angeles Dodgers,2,0
2024-04-17,745671,3,St. Louis Cardinals,Oakland Athletics,6,Oakland Athletics,St. Louis Cardinals,6,3
2024-04-17,747212,5,Chicago Cubs,Arizona Diamondbacks,3,Chicago Cubs,Arizona Diamondbacks,5,3
2024-04-17,745267,1,Cincinnati Reds,Seattle Mariners,5,Seattle Mariners,Cincinnati Reds,5,1
2024-04-17,745591,6,Colorado Rockies,Philadelphia Phillies,7,Philadelphia Phillies,Colorado Rockies,7,6
2024-04-17,745105,5,Los Angeles Angels,Tampa Bay Rays,4,Los Angeles Angels,Tampa Bay Rays,5,4
2024-04-17,746973,0,Cleveland Guardians,Boston Red Sox,2,Boston Red Sox,Cleveland Guardians,2,0
2024-04-18,745104,1,Los Angeles Angels,Tampa Bay Rays,2,Tampa Bay Rays,Los Angeles Angels,2,1
2024-04-18,746485,9,Texas Rangers,Detroit Tigers,7,Texas Rangers,Detroit Tigers,9,7
2024-04-18,746970,5,Cleveland Guardians,Boston Red Sox,4,Cleveland Guardians,Boston Red Sox,5,4
2024-04-18,745356,0,Arizona Diamondbacks,San Francisco Giants,5,San Francisco Giants,Arizona Diamondbacks,5,0
2024-04-19,746892,3,Miami Marlins,Chicago Cubs,8,Chicago Cubs,Miami Marlins,8,3
2024-04-19,746729,1,Los Angeles Angels,Cincinnati Reds,7,Cincinnati Reds,Los Angeles Angels,7,1
2024-04-19,745518,8,Boston Red Sox,Pittsburgh Pirates,1,Boston Red Sox,Pittsburgh Pirates,8,1
2024-04-19,745592,0,Chicago White Sox,Philadelphia Phillies,7,Philadelphia Phillies,Chicago White Sox,7,0
2024-04-19,744872,5,Houston Astros,Washington Nationals,3,Houston Astros,Washington Nationals,5,3
2024-04-19,745758,3,Tampa Bay Rays,New York Yankees,5,New York Yankees,Tampa Bay Rays,5,3
2024-04-19,746650,2,Oakland Athletics,Cleveland Guardians,10,Cleveland Guardians,Oakland Athletics,10,2
2024-04-19,747136,3,Texas Rangers,Atlanta Braves,8,Atlanta Braves,Texas Rangers,8,3
2024-04-19,746325,4,Baltimore Orioles,Kansas City Royals,9,Kansas City Royals,Baltimore Orioles,9,4
2024-04-19,745922,5,Detroit Tigers,Minnesota Twins,4,Detroit Tigers,Minnesota Twins,5,4
2024-04-19,745189,2,Milwaukee Brewers,St. Louis Cardinals,1,Milwaukee Brewers,St. Louis Cardinals,2,1
2024-04-19,745430,5,Toronto Blue Jays,San Diego Padres,1,Toronto Blue Jays,San Diego Padres,5,1
2024-04-19,746160,9,New York Mets,Los Angeles Dodgers,4,New York Mets,Los Angeles Dodgers,9,4
2024-04-19,745352,17,Arizona Diamondbacks,San Francisco Giants,1,Arizona Diamondbacks,San Francisco Giants,17,1
2024-04-20,745760,2,Tampa Bay Rays,New York Yankees,0,Tampa Bay Rays,New York Yankees,2,0
2024-04-20,745921,3,Detroit Tigers,Minnesota Twins,4,Minnesota Twins,Detroit Tigers,4,3
2024-04-20,745190,12,Milwaukee Brewers,St. Louis Cardinals,5,Milwaukee Brewers,St. Louis Cardinals,12,5
2024-04-20,746893,3,Miami Marlins,Chicago Cubs,2,Miami Marlins,Chicago Cubs,3,2
2024-04-20,746891,3,Miami Marlins,Chicago Cubs,5,Chicago Cubs,Miami Marlins,5,3
2024-04-20,744865,4,Houston Astros,Washington Nationals,5,Washington Nationals,Houston Astros,5,4
2024-04-20,746156,6,New York Mets,Los Angeles Dodgers,4,New York Mets,Los Angeles Dodgers,6,4
2024-04-20,745515,4,Boston Red Sox,Pittsburgh Pirates,2,Boston Red Sox,Pittsburgh Pirates,4,2
2024-04-20,745354,3,Arizona Diamondbacks,San Francisco Giants,7,San Francisco Giants,Arizona Diamondbacks,7,3
2024-04-20,745590,5,Chicago White Sox,Philadelphia Phillies,9,Philadelphia Phillies,Chicago White Sox,9,5
2024-04-20,746651,3,Oakland Athletics,Cleveland Guardians,6,Cleveland Guardians,Oakland Athletics,6,3
2024-04-20,746726,5,Los Angeles Angels,Cincinnati Reds,7,Cincinnati Reds,Los Angeles Angels,7,5
2024-04-20,746324,9,Baltimore Orioles,Kansas City Royals,7,Baltimore Orioles,Kansas City Royals,9,7
2024-04-20,747135,2,Texas Rangers,Atlanta Braves,5,Atlanta Braves,Texas Rangers,5,2
2024-04-20,746570,7,Seattle Mariners,Colorado Rockies,0,Seattle Mariners,Colorado Rockies,7,0
2024-04-20,745431,5,Toronto Blue Jays,San Diego Padres,2,Toronto Blue Jays,San Diego Padres,5,2
2024-04-21,744866,0,Houston Astros,Washington Nationals,6,Washington Nationals,Houston Astros,6,0
2024-04-21,745514,6,Boston Red Sox,Pittsburgh Pirates,1,Boston Red Sox,Pittsburgh Pirates,6,1
2024-04-21,745588,2,Chicago White Sox,Philadelphia Phillies,8,Philadelphia Phillies,Chicago White Sox,8,2
2024-04-21,745759,4,Tampa Bay Rays,New York Yankees,5,New York Yankees,Tampa Bay Rays,5,4
2024-04-21,746727,0,Los Angeles Angels,Cincinnati Reds,3,Cincinnati Reds,Los Angeles Angels,3,0
2024-04-21,746652,2,Oakland Athletics,Cleveland Guardians,6,Cleveland Guardians,Oakland Athletics,6,2
2024-04-21,746316,5,Baltimore Orioles,Kansas City Royals,0,Baltimore Orioles,Kansas City Royals,5,0
2024-04-21,745920,6,Detroit Tigers,Minnesota Twins,1,Detroit Tigers,Minnesota Twins,6,1
2024-04-21,745192,2,Milwaukee Brewers,St. Louis Cardinals,0,Milwaukee Brewers,St. Louis Cardinals,2,0
2024-04-21,746894,6,Miami Marlins,Chicago Cubs,3,Miami Marlins,Chicago Cubs,6,3
2024-04-21,746568,1,Seattle Mariners,Colorado Rockies,2,Colorado Rockies,Seattle Mariners,2,1
2024-04-21,746572,10,Seattle Mariners,Colorado Rockies,2,Seattle Mariners,Colorado Rockies,10,2
2024-04-21,745353,5,Arizona Diamondbacks,San Francisco Giants,3,Arizona Diamondbacks,San Francisco Giants,5,3
2024-04-21,746154,0,New York Mets,Los Angeles Dodgers,10,Los Angeles Dodgers,New York Mets,10,0
2024-04-21,745434,3,Toronto Blue Jays,San Diego Padres,6,San Diego Padres,Toronto Blue Jays,6,3
2024-04-21,747133,6,Texas Rangers,Atlanta Braves,4,Texas Rangers,Atlanta Braves,6,4
2024-04-22,745757,2,Oakland Athletics,New York Yankees,0,Oakland Athletics,New York Yankees,2,0
2024-04-22,746723,7,Philadelphia Phillies,Cincinnati Reds,0,Philadelphia Phillies,Cincinnati Reds,7,0
2024-04-22,745519,2,Milwaukee Brewers,Pittsburgh Pirates,4,Pittsburgh Pirates,Milwaukee Brewers,4,2
2024-04-22,745107,7,Detroit Tigers,Tampa Bay Rays,1,Detroit Tigers,Tampa Bay Rays,7,1
2024-04-22,747134,0,Miami Marlins,Atlanta Braves,3,Atlanta Braves,Miami Marlins,3,0
2024-04-22,746319,5,Toronto Blue Jays,Kansas City Royals,3,Toronto Blue Jays,Kansas City Royals,5,3
2024-04-22,745916,0,Chicago White Sox,Minnesota Twins,7,Minnesota Twins,Chicago White Sox,7,0
2024-04-22,745191,3,Arizona Diamondbacks,St. Louis Cardinals,5,St. Louis Cardinals,Arizona Diamondbacks,5,3
2024-04-22,746565,3,San Diego Padres,Colorado Rockies,1,San Diego Padres,Colorado Rockies,3,1
2024-04-22,746242,4,Baltimore Orioles,Los Angeles Angels,2,Baltimore Orioles,Los Angeles Angels,4,2
2024-04-22,745351,2,New York Mets,San Francisco Giants,5,San Francisco Giants,New York Mets,5,2
2024-04-23,746647,1,Boston Red Sox,Cleveland Guardians,4,Cleveland Guardians,Boston Red Sox,4,1
2024-04-23,746722,1,Philadelphia Phillies,Cincinnati Reds,8,Cincinnati Reds,Philadelphia Phillies,8,1
2024-04-23,745516,1,Milwaukee Brewers,Pittsburgh Pirates,2,Pittsburgh Pirates,Milwaukee Brewers,2,1
2024-04-23,744863,4,Los Angeles Dodgers,Washington Nationals,1,Los Angeles Dodgers,Washington Nationals,4,1
2024-04-23,745102,4,Detroit Tigers,Tampa Bay Rays,2,Detroit Tigers,Tampa Bay Rays,4,2
2024-04-23,745754,3,Oakland Athletics,New York Yankees,4,New York Yankees,Oakland Athletics,4,3
2024-04-23,747130,0,Miami Marlins,Atlanta Braves,5,Atlanta Braves,Miami Marlins,5,0
2024-04-23,746888,2,Houston Astros,Chicago Cubs,7,Chicago Cubs,Houston Astros,7,2
2024-04-23,746321,2,Toronto Blue Jays,Kansas City Royals,3,Kansas City Royals,Toronto Blue Jays,3,2
2024-04-23,745917,5,Chicago White Sox,Minnesota Twins,6,Minnesota Twins,Chicago White Sox,6,5
2024-04-23,745193,14,Arizona Diamondbacks,St. Louis Cardinals,1,Arizona Diamondbacks,St. Louis Cardinals,14,1
2024-04-23,745026,4,Seattle Mariners,Texas Rangers,0,Seattle Mariners,Texas Rangers,4,0
2024-04-23,746566,4,San Diego Padres,Colorado Rockies,7,Colorado Rockies,San Diego Padres,7,4
2024-04-23,746246,4,Baltimore Orioles,Los Angeles Angels,7,Los Angeles Angels,Baltimore Orioles,7,4
2024-04-23,745348,1,New York Mets,San Francisco Giants,5,San Francisco Giants,New York Mets,5,1
2024-04-24,745188,1,Arizona Diamondbacks,St. Louis Cardinals,5,St. Louis Cardinals,Arizona Diamondbacks,5,1
2024-04-24,745346,8,New York Mets,San Francisco Giants,2,New York Mets,San Francisco Giants,8,2
2024-04-24,746244,6,Baltimore Orioles,Los Angeles Angels,5,Baltimore Orioles,Los Angeles Angels,6,5
2024-04-24,746649,8,Boston Red Sox,Cleveland Guardians,0,Boston Red Sox,Cleveland Guardians,8,0
2024-04-24,746725,4,Philadelphia Phillies,Cincinnati Reds,7,Cincinnati Reds,Philadelphia Phillies,7,4
2024-04-24,745513,3,Milwaukee Brewers,Pittsburgh Pirates,2,Milwaukee Brewers,Pittsburgh Pirates,3,2
2024-04-24,744864,11,Los Angeles Dodgers,Washington Nationals,2,Los Angeles Dodgers,Washington Nationals,11,2
2024-04-24,745099,5,Detroit Tigers,Tampa Bay Rays,7,Tampa Bay Rays,Detroit Tigers,7,5
2024-04-24,745753,3,Oakland Athletics,New York Yankees,7,New York Yankees,Oakland Athletics,7,3
2024-04-24,747132,3,Miami Marlins,Atlanta Braves,4,Atlanta Braves,Miami Marlins,4,3
2024-04-24,746889,3,Houston Astros,Chicago Cubs,4,Chicago Cubs,Houston Astros,4,3
2024-04-24,746317,2,Toronto Blue Jays,Kansas City Royals,3,Kansas City Royals,Toronto Blue Jays,3,2
2024-04-24,745919,3,Chicago White Sox,Minnesota Twins,6,Minnesota Twins,Chicago White Sox,6,3
2024-04-24,745028,1,Seattle Mariners,Texas Rangers,5,Texas Rangers,Seattle Mariners,5,1
2024-04-24,746567,5,San Diego Padres,Colorado Rockies,2,San Diego Padres,Colorado Rockies,5,2
2024-04-25,745512,7,Milwaukee Brewers,Pittsburgh Pirates,5,Milwaukee Brewers,Pittsburgh Pirates,7,5
2024-04-25,746646,4,Boston Red Sox,Cleveland Guardians,6,Cleveland Guardians,Boston Red Sox,6,4
2024-04-25,746724,5,Philadelphia Phillies,Cincinnati Reds,0,Philadelphia Phillies,Cincinnati Reds,5,0
2024-04-25,745918,3,Chicago White Sox,Minnesota Twins,6,Minnesota Twins,Chicago White Sox,6,3
